Name,Address,Type,Description,Image_URL
Bánh Anh Em,"99 3rd Ave, New York, NY 10003",Restaurants & Cafes,This is one of my favorite Vietnamese spots in the city. The flavors feel familiar but still fresh and modern. I like bringing friends here when I want to share a part of home with them.,https://platform.ny.eater.com/wp-content/uploads/sites/6/chorus/uploads/chorus_asset/file/25910924/LannaApisukh_Eater_Bahn_Anhem_20250312_0042.jpg?quality=90&strip=all&crop=0%2C0%2C100%2C100&w=1440
Whitney Museum of American Art,"99 Gansevoort St, New York, NY 10014",Cultural Sites,"I like coming here when I want to see something new and different. The art always feels current, and the terrace views of the city are beautiful. It’s a place that makes me slow down and think.",https://www.nyc-arts.org/wp-content/uploads/2011/10/12a_1540.jpg
Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028",Cultural Sites,The Met is where I go when I want to wander for hours. I love how you can walk through so many cultures and time periods in one building. It always makes the city feel bigger and more connected.,https://cdn.sanity.io/images/cctd4ker/production/7c82dc04b9b7cd6fdc7050baac63f9a0fa1d0b58-3200x1800.jpg?w=3840&q=75&fit=clip&auto=format
53rd Street Library,"18 W 53rd St, New York, NY 10019",Cultural Sites,"This library feels like a quiet break in the middle of Midtown. I like stopping here when everything outside feels too busy. It’s calm, simple, and easy to sit and reset for a while.",https://2x4.org/wp-content/uploads/2016/06/1_NYPL-53rd-Street-Photos-Low-Res-for-Web-4.jpg
Tompkins Square Park,"E 10th St, New York, NY 10009",Parks & Recreation Areas,This park feels very real and very local in the middle of the East Village. I’ve spent afternoons here just sitting with friends or watching people walk by. It feels like everyday New York.,https://www.nycgovparks.org/photo_gallery/full_size/27233.jpg
niconeco zakkaya,"263 E 10th St, New York, NY 10009",Shopping District or Local Businesses,"A small shop full of cute and thoughtful stationery items. I like coming here when I want something simple, vintage, and thoughtful, especially for birthday postcards. It’s quiet and cozy, and it always feels intentional.",https://cdn.shopify.com/s/files/1/1179/4076/files/3B00CD46-48D7-4E5D-912E-1FBF0A535F41_480x480.jpg?v=1567402021
Nami Nori West Village,"33 Carmine St, New York, NY 10014",Restaurants & Cafes,This is where I’d take someone who thinks sushi is always the same. The open-style temaki hand rolls feel fun and a little special. It’s relaxed but still feels like a treat.,https://pidfloors.com/cdn/shop/articles/2C3A2820.jpg?v=1571754329
Tènten,"119 Baxter St Unit B, New York, NY 10013",Restaurants & Cafes,"A northern-style phở spot that reminds me of my hometown in the best way. The handmade noodles and lighter broth feel authentic and comforting, especially when I’m missing home. It’s one of those places that makes New York feel a little more familiar.",https://tb-static.uber.com/prod/image-proc/processed_images/60b5eed0d5913f22d0dc917187fb35c5/30be7d11a3ed6f6183354d1933fbb6c7.jpeg
Sorate,"103 Sullivan St, New York, NY 10012",Restaurants & Cafes,"This is a minimalist and calm tea house with a focus on refined Japanese flavors. It feels intimate and understated, which makes it perfect for slow dinners and meaningful conversations.",https://www.amny.com/wp-content/uploads/2023/12/20231009-SORATE_036-1.jpg
Don Udon,"634 Park Pl, Brooklyn, NY 11239",Restaurants & Cafes,"A comforting spot when I just want something simple and satisfying. The handmade udon feels hearty and grounding, especially on colder days. It’s a lowkey hidden spot, but it’s reliable in the best way.","https://res.cloudinary.com/the-infatuation/image/upload/q_auto,f_auto/images/NYC_Don_Udon_WillaMoore_KPEDIT_01_1_lwnei3"
Tonchin New York,"13 W 36th St, New York, NY 10018",Restaurants & Cafes,"Tonchin is usually busy, but that’s part of why I like it. The ramen feels rich and comforting after a long day. It has that lively New York energy that makes it memorable.",https://cdn.prod.website-files.com/64f271c1bc251cc492d7f271/6516f0b1fb17e730086ff5d6_Copy%20of%2022_08_20_Tonchin_66.jpg
Jing Jing Hair & Skin Care Hair Salon,"34 W 36th St, 3rd floor, New York, NY 10018",Shopping District or Local Businesses,"This is a small, local salon that feels familiar and easy. It’s not fancy, but it feels personal. I like including places like this because they show everyday life in the city.",https://s3-media0.fl.yelpcdn.com/bphoto/7Nl1HaNE3Vgudzmewkae8w/348s.jpg
